Ores & Minerals,Mesurement Unit,Quantity - 2015-16 (R),Value - 2015-16,Quantity - 2016-17 (P),Value - 2016-17,Quantity - 2017-18 (P),Value - 2017-18,Note of Quantity - 2015-16 (R),Note of Value - 2015-16,Note of Quantity - 2016-17 (P),Note of Value - 2016-17,Note of Quantity - 2017-18 (P),Note of Value - 2017-18
All Minerals,NA,NA,1709463248,NA,2001306842,NA,1991204401,**,NA,**,NA,**,NA
Abrasive (Natural),tonne,4477,59894,4773,66649,49186,425304,NA,NA,NA,NA,NA,NA
Alabaster,tonne,NA,NA,20,240,4,41,---,---,NA,NA,NA,NA
Alumina,tonne,1368526,25895759,1509464,30030430,1361382,32961495,NA,NA,NA,NA,NA,NA
Andalusite,tonne,NA,NA,150,2063,6,327,---,---,NA,NA,NA,NA
Antimony Ores & Conc.,tonne,264,115561,46,9646,4,290,NA,NA,NA,NA,NA,NA
Arsenic Sulphide (Natural),tonne,15,98,NA,NA,25,280,NA,NA,---,---,NA,NA
Asbestos: Total,tonne,524,23587,102,963,132,943,NA,NA,NA,NA,NA,NA
Asbestos (Chrysotile),tonne,306,22919,26,395,1,95,NA,NA,NA,NA,NA,NA
Asbestos (Others),tonne,218,668,76,568,131,848,NA,NA,NA,NA,NA,NA
Ball Clay,tonne,61536,148435,92688,233666,154640,344836,NA,NA,NA,NA,NA,NA
Barytes,tonne,743407,6517075,1067313,7669141,1652975,9308877,NA,NA,NA,NA,NA,NA
Bauxite,tonne,8914624,19527404,2790675,5105333,1529308,2705040,NA,NA,NA,NA,NA,NA
Bentonite,tonne,1572469,4814343,1538134,4798150,1599608,4825168,NA,NA,NA,NA,NA,NA
Borax: Total,tonne,1724,124645,2480,164054,3136,261791,NA,NA,NA,NA,NA,NA
Natural Borate,tonne,141,1513,65,1329,16,560,NA,NA,NA,NA,NA,NA
Sodium Borate,tonne,1135,51516,1969,93325,2084,98828,NA,NA,NA,NA,NA,NA
Other Borates,tonne,448,71616,446,69400,1036,162403,NA,NA,NA,NA,NA,NA
Building And Monumental Stones Nes,tonne,5133276,8489458,8211193,12089834,7715765,10165733,NA,NA,NA,NA,NA,NA
Calcite,tonne,25198,177976,26981,202616,38638,289088,NA,NA,NA,NA,NA,NA
Chalk,tonne,481,3818,659,4550,683,4344,NA,NA,NA,NA,NA,NA
Chromite: Total,tonne,71839,1314085,230531,3657700,81835,1743015,NA,NA,NA,NA,NA,NA
Chrome Ore  Others,tonne,1867,26219,81502,1091305,48466,953757,NA,NA,NA,NA,NA,NA
Chrome Ore Conc.,tonne,69972,1287852,149029,2566395,33367,789176,NA,NA,NA,NA,NA,NA
Chrome Ore Lumps,tonne,NA,14,NA,NA,2,82,++,NA,---,---,NA,NA
Clay (Others),tonne,23341,312553,40343,459495,37363,365975,NA,NA,NA,NA,NA,NA
Coal(Ex Ligbite),Thousand tonne,1576,9006274,1772,9669603,1502,8777023,NA,NA,NA,NA,NA,NA
Coal:Lignite,Thousand tonne,NA,2753,2,251598,1,263660,++,NA,NA,NA,NA,NA
Coke,tonne,89847,1073159,77642,992815,90748,1628416,NA,NA,NA,NA,NA,NA
Coal Gas ,tonne,1,99,NA,95,37,1122,NA,NA,++,NA,NA,NA
Cobolt Ores & Conc.,tonne,NA,44,NA,20,NA,4,++,NA,++,NA,++,NA
Copper Ores & Conc.,tonne,11432,712919,22711,1054322,61005,3805458,NA,NA,NA,NA,NA,NA
